,secID,ticker,exchangeCD,secShortName,tradeDate,contractObject,contractMark,preSettlePrice,preClosePrice,openPrice,highestPrice,lowestPrice,closePrice,settlePrice,turnoverVol,turnoverValue,openInt,CHG,CHG1,CHGPct,mainCon,smainCon
60,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-12-17,AU,,393.96,394.18,395.62,397.12,395.1,397.12,395.96,7.0,2771780.0,88.0,3.16,2.0,0.00802112,0,0
61,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-12-18,AU,,395.96,397.12,399.08,400.18,398.04,400.18,399.5,9.0,3595640.0,87.0,4.22,3.54,0.01065764,0,0
62,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-12-21,AU,,399.5,400.18,399.88,404.38,398.86,404.38,400.36,7.0,2802640.0,87.0,4.88,0.86,0.01221527,0,0
63,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-12-22,AU,,400.36,404.38,401.08,401.08,398.68,398.68,399.76,5.0,1998880.0,86.0,-1.68,-0.6,-0.00419622,0,0
64,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-12-23,AU,,399.76,398.68,399.5,401.2,397.32,398.74,399.78,12.0,4797420.0,82.0,-1.02,0.02,-0.00255153,0,0
65,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-12-24,AU,,399.78,398.74,397.48,398.26,397.48,398.26,397.78,3.0,1193380.0,81.0,-1.52,-2.0,-0.00380209,0,0
66,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-12-25,AU,,397.78,398.26,400.54,401.1,400.54,401.1,400.82,2.0,801640.0,81.0,3.32,3.04,0.00834632,0,0
67,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-12-28,AU,,400.82,401.1,401.24,405.18,398.52,401.6,402.32,941.0,378592720.0,384.0,0.78,1.5,0.00194601,0,0
68,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-12-29,AU,,402.32,401.6,401.56,405.02,399.0,399.82,401.76,1915.0,769402460.0,1293.0,-2.5,-0.56,-0.00621396,0,0
69,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-12-30,AU,,401.76,399.82,399.88,401.08,398.48,399.76,400.22,699.0,279754680.0,1616.0,-2.0,-1.54,-0.0049781,0,0
70,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2020-12-31,AU,,400.22,399.76,400.26,403.48,399.84,401.02,401.52,494.0,198353360.0,1641.0,0.8,1.3,0.0019989,0,0
71,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-01-04,AU,,401.52,401.02,406.12,406.659,405.3,405.74,406.1,1421.0,577091340.0,1944.0,4.22,4.58,0.01051006,0,0
72,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-01-05,AU,,406.1,405.74,408.2,410.2,406.96,407.98,408.56,1981.0,809375120.0,2252.0,1.88,2.46,0.0046294,0,0
73,AU2110.XSGE,au2110,XSGE,»¦»Æ½ð2110,2021-01-06,AU,,408.56,407.98,409.92,410.18,406.98,407.86,408.64,5874.0,2400451040.0,3587.0,-0.7,0.08,-0.00171333,0,0
