===============================================================================
Id,brf,len,datetime,open,high,low,close,volume,openinterest,MyStrategy,len,datetime,Value,len,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,DrawDown,len,drawdown,maxdrawdown
52,brf,52,2020-12-04 00:00:00,391.4,392.46,387.1,390.82,9.0,0.0,MyStrategy,52,737763.0,Value,52,200000.0,BuySell,52,,,Trades - Net Profit/Loss,52,,,DrawDown,52,0.0,0.0
53,brf,53,2020-12-07 00:00:00,390.22,390.26,389.0,390.0,8.0,0.0,MyStrategy,53,737766.0,Value,53,200000.0,BuySell,53,,,Trades - Net Profit/Loss,53,,,DrawDown,53,0.0,0.0
54,brf,54,2020-12-08 00:00:00,388.76,396.3,388.76,395.26,12.0,0.0,MyStrategy,54,737767.0,Value,54,200000.0,BuySell,54,,,Trades - Net Profit/Loss,54,,,DrawDown,54,0.0,0.0
55,brf,55,2020-12-09 00:00:00,395.4,395.4,393.06,393.06,4.0,0.0,MyStrategy,55,737768.0,Value,55,200000.0,BuySell,55,,,Trades - Net Profit/Loss,55,,,DrawDown,55,0.0,0.0
56,brf,56,2020-12-10 00:00:00,393.96,394.0,389.8,389.8,8.0,0.0,MyStrategy,56,737769.0,Value,56,200000.0,BuySell,56,,,Trades - Net Profit/Loss,56,,,DrawDown,56,0.0,0.0
57,brf,57,2020-12-11 00:00:00,389.8,392.9,389.78,389.84,6.0,0.0,MyStrategy,57,737770.0,Value,57,200000.0,BuySell,57,,,Trades - Net Profit/Loss,57,,,DrawDown,57,0.0,0.0
58,brf,58,2020-12-14 00:00:00,388.2,389.02,388.2,389.02,2.0,0.0,MyStrategy,58,737773.0,Value,58,200000.0,BuySell,58,,,Trades - Net Profit/Loss,58,,,DrawDown,58,0.0,0.0
59,brf,59,2020-12-15 00:00:00,389.5,389.5,389.5,389.5,1.0,0.0,MyStrategy,59,737774.0,Value,59,200000.0,BuySell,59,,,Trades - Net Profit/Loss,59,,,DrawDown,59,0.0,0.0
60,brf,60,2020-12-16 00:00:00,394.32,394.32,393.34,394.18,5.0,0.0,MyStrategy,60,737775.0,Value,60,200000.0,BuySell,60,,,Trades - Net Profit/Loss,60,,,DrawDown,60,0.0,0.0
61,brf,61,2020-12-17 00:00:00,395.62,397.12,395.1,397.12,7.0,0.0,MyStrategy,61,737776.0,Value,61,200000.0,BuySell,61,,,Trades - Net Profit/Loss,61,,,DrawDown,61,0.0,0.0
62,brf,62,2020-12-18 00:00:00,399.08,400.18,398.04,400.18,9.0,0.0,MyStrategy,62,737777.0,Value,62,200000.0,BuySell,62,,,Trades - Net Profit/Loss,62,,,DrawDown,62,0.0,0.0
63,brf,63,2020-12-21 00:00:00,399.88,404.38,398.86,404.38,7.0,0.0,MyStrategy,63,737780.0,Value,63,200000.0,BuySell,63,,,Trades - Net Profit/Loss,63,,,DrawDown,63,0.0,0.0
64,brf,64,2020-12-22 00:00:00,401.08,401.08,398.68,398.68,5.0,0.0,MyStrategy,64,737781.0,Value,64,200000.0,BuySell,64,,,Trades - Net Profit/Loss,64,,,DrawDown,64,0.0,0.0
65,brf,65,2020-12-23 00:00:00,399.5,401.2,397.32,398.74,12.0,0.0,MyStrategy,65,737782.0,Value,65,200000.0,BuySell,65,,,Trades - Net Profit/Loss,65,,,DrawDown,65,0.0,0.0
66,brf,66,2020-12-24 00:00:00,397.48,398.26,397.48,398.26,3.0,0.0,MyStrategy,66,737783.0,Value,66,200000.0,BuySell,66,,,Trades - Net Profit/Loss,66,,,DrawDown,66,0.0,0.0
67,brf,67,2020-12-25 00:00:00,400.54,401.1,400.54,401.1,2.0,0.0,MyStrategy,67,737784.0,Value,67,200000.0,BuySell,67,,,Trades - Net Profit/Loss,67,,,DrawDown,67,0.0,0.0
68,brf,68,2020-12-28 00:00:00,401.24,405.18,398.52,401.6,941.0,0.0,MyStrategy,68,737787.0,Value,68,200000.0,BuySell,68,,,Trades - Net Profit/Loss,68,,,DrawDown,68,0.0,0.0
69,brf,69,2020-12-29 00:00:00,401.56,405.02,399.0,399.82,1915.0,0.0,MyStrategy,69,737788.0,Value,69,199954.64399999988,BuySell,69,401.76077999999995,401.35922000000005,Trades - Net Profit/Loss,69,,-8.01559999999904,DrawDown,69,0.022678000000058093,0.022678000000058093
70,brf,70,2020-12-30 00:00:00,399.88,401.08,398.48,399.76,699.0,0.0,MyStrategy,70,737789.0,Value,70,199955.8439999999,BuySell,70,,,Trades - Net Profit/Loss,70,,,DrawDown,70,0.02207800000005227,0.022678000000058093
71,brf,71,2020-12-31 00:00:00,400.26,403.48,399.84,401.02,494.0,0.0,MyStrategy,71,737790.0,Value,71,199930.64399999988,BuySell,71,,,Trades - Net Profit/Loss,71,,,DrawDown,71,0.03467800000005809,0.03467800000005809
72,brf,72,2021-01-04 00:00:00,406.12,406.659,405.3,405.74,1421.0,0.0,MyStrategy,72,737794.0,Value,72,199763.2319999999,BuySell,72,404.04192,403.63808000000006,Trades - Net Profit/Loss,72,,,DrawDown,72,0.11838400000004913,0.11838400000004913
73,brf,73,2021-01-05 00:00:00,408.2,410.2,406.96,407.98,1981.0,0.0,MyStrategy,73,737795.0,Value,73,199584.72999999995,BuySell,73,406.02472909090903,405.09068666666667,Trades - Net Profit/Loss,73,,,DrawDown,73,0.20763500000002386,0.20763500000002386
74,brf,74,2021-01-06 00:00:00,409.92,410.18,406.98,407.86,5874.0,0.0,MyStrategy,74,737796.0,Value,74,199193.37320000012,BuySell,74,408.6395206818182,407.98090750000006,Trades - Net Profit/Loss,74,,-8.099199999999428,DrawDown,74,0.40331339999994087,0.40331339999994087
75,brf,75,2021-01-07 00:00:00,405.54,407.62,401.7,404.56,3310.0,0.0,MyStrategy,75,737797.0,Value,75,199167.02810000005,BuySell,75,407.74793369696965,407.2599045454546,Trades - Net Profit/Loss,75,,,DrawDown,75,0.41648594999997296,0.41648594999997296
76,brf,76,2021-01-08 00:00:00,403.5,404.08,400.2,400.76,4924.0,0.0,MyStrategy,76,737798.0,Value,76,199281.1580999999,BuySell,76,406.64937692307694,406.20346333333333,Trades - Net Profit/Loss,76,,,DrawDown,76,0.35942095000004337,0.41648594999997296
77,brf,77,2021-01-11 00:00:00,396.84,396.98,383.24,389.84,2973.0,0.0,MyStrategy,77,737801.0,Value,77,200685.1056999999,BuySell,77,405.49607777254903,405.078535882353,Trades - Net Profit/Loss,77,,,DrawDown,77,0.0,0.41648594999997296
78,brf,78,2021-01-12 00:00:00,389.22,392.6,386.96,392.34,3559.0,0.0,MyStrategy,78,737802.0,Value,78,199967.90139999983,BuySell,78,403.0567681555555,402.67056400000007,Trades - Net Profit/Loss,78,,,DrawDown,78,0.3573779416755544,0.41648594999997296
79,brf,79,2021-01-13 00:00:00,392.42,393.32,388.62,391.96,6730.0,0.0,MyStrategy,79,737803.0,Value,79,200019.1771999998,BuySell,79,401.92502300000007,,Trades - Net Profit/Loss,79,,,DrawDown,79,0.3318275652183074,0.41648594999997296
80,brf,80,2021-01-14 00:00:00,391.74,393.0,387.12,389.14,3463.0,0.0,MyStrategy,80,737804.0,Value,80,200470.3771999998,BuySell,80,,,Trades - Net Profit/Loss,80,,,DrawDown,80,0.10699772623937426,0.41648594999997296
81,brf,81,2021-01-15 00:00:00,389.14,392.6,388.52,390.7,5977.0,0.0,MyStrategy,81,737805.0,Value,81,200220.7771999998,BuySell,81,,,Trades - Net Profit/Loss,81,,,DrawDown,81,0.23137167971708167,0.41648594999997296
82,brf,82,2021-01-18 00:00:00,390.32,391.5,384.54,389.64,7506.0,0.0,MyStrategy,82,737808.0,Value,82,200390.3771999998,BuySell,82,,,Trades - Net Profit/Loss,82,,,DrawDown,82,0.14686117286684364,0.41648594999997296
83,brf,83,2021-01-19 00:00:00,389.4,391.08,388.8,390.3,3482.0,0.0,MyStrategy,83,737809.0,Value,83,200284.7771999998,BuySell,83,,,Trades - Net Profit/Loss,83,,,DrawDown,83,0.19948092241510615,0.41648594999997296
84,brf,84,2021-01-20 00:00:00,389.3,392.1,388.14,391.66,5077.0,0.0,MyStrategy,84,737810.0,Value,84,200067.1771999998,BuySell,84,,,Trades - Net Profit/Loss,84,,,DrawDown,84,0.3079094972418258,0.41648594999997296
85,brf,85,2021-01-21 00:00:00,389.419,395.56,387.64,395.42,3820.0,0.0,MyStrategy,85,737811.0,Value,85,199801.95462999982,BuySell,85,389.61370949999997,,Trades - Net Profit/Loss,85,,,DrawDown,85,0.4400680692867584,0.4400680692867584
86,brf,86,2021-01-22 00:00:00,393.5,394.6,392.32,393.62,4291.0,0.0,MyStrategy,86,737812.0,Value,86,199959.8146299998,BuySell,86,391.9468754999999,,Trades - Net Profit/Loss,86,,,DrawDown,86,0.3614075232291114,0.4400680692867584
87,brf,87,2021-01-25 00:00:00,390.32,394.4,389.38,391.78,2862.0,0.0,MyStrategy,87,737815.0,Value,87,200039.20822999981,BuySell,87,391.62871649999994,,Trades - Net Profit/Loss,87,575.5750300000334,,DrawDown,87,0.3218462415270731,0.4400680692867584
88,brf,88,2021-01-26 00:00:00,393.84,395.28,391.02,392.9,3822.0,0.0,MyStrategy,88,737816.0,Value,88,199981.3930299998,BuySell,88,392.2307673749999,,Trades - Net Profit/Loss,88,,,DrawDown,88,0.35065515577028483,0.4400680692867584
89,brf,89,2021-01-27 00:00:00,392.64,393.08,388.96,391.02,3542.0,0.0,MyStrategy,89,737817.0,Value,89,199710.0138299998,BuySell,89,392.3518778999999,,Trades - Net Profit/Loss,89,,,DrawDown,89,0.4858815339578495,0.4858815339578495
90,brf,90,2021-01-28 00:00:00,389.12,396.04,388.36,389.02,4370.0,0.0,MyStrategy,90,737818.0,Value,90,199405.2858299998,BuySell,90,391.93724404194074,,Trades - Net Profit/Loss,90,,,DrawDown,90,0.6377253885065446,0.6377253885065446
91,brf,91,2021-01-29 00:00:00,389.38,394.44,387.42,391.26,5009.0,0.0,MyStrategy,91,737819.0,Value,91,199618.26992999978,BuySell,91,391.605554925,389.18531,Trades - Net Profit/Loss,91,,,DrawDown,91,0.5315968847209382,0.6377253885065446
92,brf,92,2021-02-01 00:00:00,393.7,396.12,389.58,395.22,11291.0,0.0,MyStrategy,92,737822.0,Value,92,199592.56292999978,BuySell,92,,392.153825,Trades - Net Profit/Loss,92,,-195.32649999999762,DrawDown,92,0.5444065050015902,0.6377253885065446
93,brf,93,2021-02-02 00:00:00,395.88,396.84,391.68,392.32,6434.0,0.0,MyStrategy,93,737823.0,Value,93,199686.9543299998,BuySell,93,396.07793999999996,392.785193368421,Trades - Net Profit/Loss,93,,,DrawDown,93,0.4973719233016776,0.6377253885065446
94,brf,94,2021-02-03 00:00:00,389.86,389.96,386.06,387.72,3652.0,0.0,MyStrategy,94,737824.0,Value,94,199862.55432999978,BuySell,94,394.0386266666667,,Trades - Net Profit/Loss,94,,,DrawDown,94,0.4098716579543939,0.6377253885065446
